Features,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
RERE,-2.1547,-1.8554,0.6772,-0.7165,-0.7716,0.5007,0.8088,-0.7681,-1.1768,1.0786
RNF165,0.0506,-0.6111,1.3286,-0.734,0.4448,-1.1415,0.9735,-0.9539,-0.5684,-0.8493
CD049690,0.5284,0.1953,-0.2314,1.3184,0.3248,0.752,0.5442,-0.24,-0.2291,-0.7801
BC033982,2.5037,-0.4588,0.1325,0.7486,0.3153,0.2833,0.4285,-1.386,0.072,1.0179
PHF7,-0.0998,-0.0515,-0.5534,-0.2285,-1.2171,0.3024,-1.4054,-0.2247,-0.4968,0.6411
CIDEA,-0.7518,-0.7247,-0.6927,-1.0187,-0.9821,-0.8521,0.0176,0.6011,0.6628,0.093
PAPD4,0.2556,-1.8411,-0.2028,0.9613,0.3743,0.0122,1.3782,1.5335,0.4428,0.8429
AI082173,0.1651,0.7008,0.5083,-0.6528,0.7274,0.0847,0.3808,-0.9734,2.0971,-1.5984
SLC17A3,1.1862,0.0128,-0.3348,-1.0209,-0.5118,0.1665,-0.1999,-0.5713,-2.1204,-1.0662
SDS,-1.0145,-0.2304,0.8358,0.3632,-0.8856,-1.4363,-1.4024,1.2784,0.4358,-0.5842
ATP6V1C2,1.5405,-0.5657,-0.5192,-0.4778,-0.5466,-0.8017,-0.349,-0.2145,-0.5201,-0.5636
F3,-1.1683,-1.27,0.6277,0.0045,0.4456,-0.4982,-0.4637,-1.2466,-0.9816,-0.2803
FAM71C,0.1037,0.9623,0.7169,2.1376,1.181,0.3591,0.7731,-1.9836,-0.331,0.3487
AK055082,-0.342,-1.0092,-0.889,-1.0366,0.2187,-0.5147,-0.7869,-0.3026,0.3884,-2.3384
BU687559,-0.1911,0.9484,0.122,0.4982,-0.5612,-1.6718,-1.4215,0.1593,-0.5867,-0.9033
LIN52,1.4163,0.5254,1.316,1.2848,1.3759,1.0136,1.4849,2.1382,0.8981,2.0347
PCOTH,-0.4738,-0.0769,-0.2379,-0.3795,0.2844,1.5114,0.0203,-0.8138,0.6447,0.8884
GRM1,-0.8161,0.7542,0.5315,-0.2402,0.1442,0.1066,-0.5284,0.7188,0.5257,1.106
FXN,-0.1807,0.9183,-0.0997,-0.6048,-0.8182,-0.3634,-1.1225,-0.5273,-1.4213,-0.2494
SLC9A1,-0.3842,0.6606,0.3598,-0.4723,-1.8072,-0.8458,-0.7137,-0.2143,-1.7919,0.6039
PML,-1.1839,-0.3259,-0.5052,-0.9922,-1.0548,-1.1631,0.0236,-0.9435,-1.0861,-1.1237
CR749394,0.8111,0.4186,0.4108,1.0034,-0.9328,-0.0593,-1.2823,-0.3782,0.0663,0.4391
CD164,-0.0393,0.1983,-0.2936,0.1844,1.2931,1.3009,-1.0754,-0.9426,-0.4106,-0.4367
DB337918,-0.9237,0.6848,-0.4267,1.3118,-0.3739,-0.4462,-0.3455,0.7628,1.1224,0.2795
MOBKL2A,-0.8837,-0.008,0.1003,-1.0698,-1.4934,-1.7265,-0.7346,-0.804,-1.8252,-0.9655
HGC6.1.1,0.0782,-0.3166,-0.3048,-0.3491,0.2868,-0.985,-0.3361,-0.6069,3.3171,0.4482
OR1J2,-0.5214,-0.3622,0.3089,0.1623,-0.8026,0.6731,0.4637,1.7281,1.0948,1.2652
GNG5,-0.2664,0.0196,1.021,0.8683,1.1688,1.8111,-0.3069,0.5932,0.2064,0.9468
TAF15,-0.6238,-1.2567,0.0987,0.6878,0.2626,0.2809,0.3154,0.1126,0.7062,-0.1178
EXTL3,-0.1373,-0.3574,0.0349,-1.7665,-0.4511,-0.673,0.2087,-1.2836,-0.9269,-0.41
CNPY3,-0.6828,-0.8706,1.7813,1.5982,0.8022,0.604,0.3921,1.5032,1.5312,1.7185
C19orf24,-0.36,0.7228,0.4406,-0.7447,-0.928,0.7312,-0.2417,1.0108,-1.6101,0.0634
GAS2L2,0.9074,0.9011,-0.0943,-0.3509,0.5565,-0.3458,-0.6014,0.423,-0.5312,-0.0707
AA913006,-0.4228,-2.0859,0.3723,-0.0299,-0.4204,0.446,1.5716,-0.0435,-0.4524,0.3382
C21orf33,0.162,2.9346,-1.0875,0.6479,0.667,-0.2395,1.074,0.8228,0.3691,0.8941
DA442494,-2.9138,0.9089,-0.5615,0.1166,-0.1684,-0.5703,-1.8587,1.1821,-0.2954,-0.9597
P2RX1,-0.4371,-0.8844,-0.7867,-0.0151,-0.9353,-1.6546,-0.6423,-0.7816,-0.1487,-0.6541
CD515666,0.2421,-0.3658,-0.2339,0.3527,-0.936,2.0972,1.0704,0.4806,-0.6576,0.8229
LRR1,0.4244,0.9033,0.1789,0.3422,1.0916,-0.2735,-0.7143,0.169,1.2025,0.0032
ATP1B2,-0.911,-1.7295,-0.6126,0.2105,-0.2762,0.5002,0.0737,0.6138,-0.4365,-0.4554
BM668203,-0.3375,-0.2463,0.1074,-1.1275,-0.9534,-1.0245,-0.1865,0.3829,0.3219,-0.1317
UBLCP1,-1.4517,-0.4474,-0.5207,0.4122,1.252,-0.7533,-1.1811,-0.0938,-1.2287,-1.3456
BG236224,-0.4759,1.2789,0.3352,-0.4521,-0.5188,0.299,0.2989,-0.5692,1.0354,0.1609
ADAMTSL4,1.0881,0.0228,0.9842,-0.5259,-0.3707,2.9262,-0.5029,-0.2233,0.538,0.0404
BX109195,0.8666,0.6303,-1.0001,-0.3245,-0.5279,0.2599,0.2066,0.6745,-0.5195,-0.4832
IL28B,0.1804,1.0126,-1.1523,-0.1042,0.526,0.0493,-0.3135,0.443,0.648,-0.4097
DES,0.3078,0.0463,-0.1154,-0.1611,-0.2142,0.3068,0.6335,-0.1204,-0.8456,0.3091
HERC2P9,-0.1896,-0.8721,-0.6349,0.7328,-0.8245,0.3034,1.1203,1.7252,-0.7645,1.6823
BC033582,-1.127,-0.7497,-0.5435,0.6979,-1.0678,-0.9365,-0.4176,1.0795,-0.7742,-0.6131
PRR16,-0.2281,-0.4454,-0.2979,-0.378,0.4485,-0.8974,-1.1625,-0.3699,-0.3272,0.4308
HIPK2,-1.2633,-0.2698,0.3846,-1.1379,-0.2889,-2.3839,0.6106,-0.7595,0.7206,-1.8958
SHMT2,-0.4698,2.3601,-1.1402,-1.1877,-0.8326,-1.1276,-0.8366,0.1799,-0.1027,-0.743
MRPS5,0.5595,-0.4259,-1.5216,-0.2633,-0.185,-1.1876,0.2211,-0.8085,0.1275,-0.1712
SNORD36C,0.3081,-0.0164,0.3377,0.4912,0.4317,-0.3981,-0.6107,-0.3744,-0.1926,-1.1214
CHRNA6,-0.2984,0.2867,0.2159,-0.2617,-0.1516,-0.1902,-0.9849,-0.0915,0.2147,0.3168
TBC1D22A,2.3088,0.6773,0.2557,-0.3609,-1.4335,0.789,-0.7272,-1.4728,-0.0609,0.878
RPL35,-0.1503,0.5812,0.2171,-0.0268,0.7441,-0.3043,0.7647,-1.9896,-0.3284,-1.079
AI251715,-0.1104,-1.7224,-0.5169,-1.7877,-0.4805,-1.0743,-0.5808,0.0361,-0.7899,-1.447
ST6GALNAC4,2.0038,1.8589,0.777,-0.4708,-1.4117,2.1597,-0.8106,-1.3473,-0.546,-0.8302
TM2D1,-1.8929,1.1871,0.8661,0.7456,0.517,0.7831,-0.7056,1.0377,-1.0202,-0.7659
RASD2,0.7576,-1.3708,0.4996,-1.1932,-0.2357,1.0113,-1.1538,-1.3464,-0.7721,-0.4658
BM987095,0.2124,0.4394,-1.2753,0.0083,-0.4956,-1.24,-2.117,-1.2344,-0.6563,-0.7068
CD364315,-0.1675,-0.4372,-2.3299,0.339,-2.0879,0.4367,-0.8133,-1.5483,-0.1075,-0.3341
UBE2DNL,-0.4053,-0.9347,0.1723,0.8498,-0.8395,1.1886,0.3574,-1.4176,0.9987,0.7504
TFAP2D,-0.1488,1.2087,0.3485,0.8186,1.5688,0.1851,0.5878,0.9512,-0.259,0.4614
ITGA10,-2.0898,-0.0331,0.31,0.8567,-0.2669,0.1075,2.53,-1.2365,-1.5616,0.1339
LYRM5,-0.6322,-1.2499,-0.8064,0.0836,0.3218,0.8794,1.1449,0.4474,-0.8513,0.5612
LPPR1,0.1842,-0.4647,-1.0827,-0.1642,0.6693,-0.6865,1.4283,-0.3502,-1.2493,-0.1326
MARS2,0.2806,0.2584,-0.2785,0.7926,-0.4153,-0.2099,0.5378,1.3871,0.6953,0.058
MAGEC1,-0.1783,-0.5287,-0.2653,-0.383,-0.8379,-0.0374,-0.2235,-0.0323,-0.3931,0.3135
PDIA6,0.4598,1.5861,0.2647,-0.3261,0.4631,-0.0609,-0.5124,-0.348,1.0507,0.8247
FLJ41130,0.0082,-1.0956,-0.8681,-0.158,-0.713,-0.7243,-0.1219,-1.1059,-0.6428,0.0212
SLC25A25,-0.6382,0.7341,-0.2251,0.0241,-0.2986,-0.4518,1.4585,0.2296,3.2985,0.5724
BX109285,0.5453,-0.3007,-0.3156,0.81,-0.1265,0.0238,0.3978,-0.4188,-0.4787,0.0643
AI979035,-0.3191,-0.6563,0.1261,-0.3742,-0.2393,0.5843,-0.8075,-0.2025,-0.0009,-1.5894
FGFBP2,-0.1718,-0.546,-0.6795,0.0628,-0.7909,-0.1733,-0.0773,-0.4652,0.4485,0.012
LRRC23,0.3096,-0.0312,-0.7154,0.0892,-0.958,1.5602,-0.2918,0.6367,-0.1413,0.0011
PNCK,1.1439,-0.4022,-0.7427,-0.4994,0.9094,-1.125,-0.1924,-0.8609,-0.1902,-1.0089
CA429570,-0.2838,0.0413,0.7506,-0.3431,-0.2685,0.4782,-0.4811,-0.9438,0.47,2.027
RPS24,1.0538,-1.4365,-1.5978,-0.4304,0.3097,-0.6369,-0.4148,0.1576,1.4334,-0.3546
